"title","index","type","setLayerOwned","defaultValue","options"
"Understanding of Commander’s Intent.","4","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Achievement of Commander’s Intent.","5","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Focus on mission accomplishment.","6","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of assets appropriate for the situation.","7","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of assets in accordance with their capabilities.","8","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Coordination of supporting arms.","9","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of ALL available assets relevant to the fight (including requests for assets).","10","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of non-traditional assets or creative use of assets.","11","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Control of key terrain.","12","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of terrain to constrain the enemy.","13","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of terrain for concealment.","14","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Use of terrain for protection/cover.","15","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of enemy objectives.","16","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of enemy positions.","17","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of enemy scheme of maneuver.","18","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of enemy disposition and capabilities.","19","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of how the enemy would expect his actions, and ability to stay 2 moves ahead.","20","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Operated inside the opponent’s OODA loop.","21","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Leveraged the element of surprise.","22","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Assessment of time required to maneuver assets.","23","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Appropriate orchestration and timing of asset employment.","24","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Planned for contingencies.","25","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Adapted to situation changes.","26","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Provided necessary information to subordinates.","27","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Kept Higher informed.","28","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Kept adjacent units informed.","29","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Communicated in a timely manner or at the right times.","30","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Effectively described the situation to subordinates.","31","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Effectively described the situation to Higher.","32","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Pushed through resistance with determination.","33","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Showed a will to take action despite uncertainty.","34","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Showed he knew what was going on, especially with the enemy, throughout the mission.","35","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
